linid;category;rate;installs
3ec545ef5278ce904cc4af38c6cc8c7fcd2824b7fa33deb7a61b020efd3974f9;Productivity;3.7;100,000+
6bc08197acff81bbec7ede634cb5aecc4588580ab35b2ce706643b9c27da4f83;Board;3.9;5,000,000+
be879c87f9baa3bf2c54adc3ea00fe8b638730d62814b588c8bcef36ae94bc9c;Tools;4.4;1,000,000+
e06dafea90398dbe9eb1affac1ca9f74deb93bffcc57bf3e3185de562a6bbbb0;Music & Audio;4.3;50,000+
26a4fe7eb8d5a8decd27f2adc6778a00862c8cbb776c7176f9201fab68b3576a;Sports;4.4;10,000+
8ff2cf99a7076760142a8c745279e79b90b84185b8ef25ba18f330bf0812e79f;Books & Reference;4.4;100,000+
5afef68084067c260e6dc221687e44fbda8f1d24a3c224b05d5290eeddcd7a1b;Productivity;4.4;1,000,000+
f0df75479a104cfc86a42e403d026fac192604b8a102a77148f282919787c60e;Shopping;3.9;500,000+
3648940175b08cf1c1937326c32368397152084369c833ec7230cf759fdcead3;Auto & Vehicles;4.6;10,000+
7129d6e7d6fcac0ba9099d56e87f9f0a7003f6f407c5832d62315af06573bf40;Finance;4.6;5,000,000+
98e9ca2afec9ebf05c225cb629436c7c748f6b238975228964906b3d49a6c2a9;Books & Reference;4.5;100,000+
784334cf38d63ca145017b66b5e3283d7d3df3f6ea4ac55402a3923cfa61fce5;Entertainment;4.2;1,000,000+
21134a23c73eb40d47c436eadf562321b6dbb95ad19fe9c7bd0d97732c00a94a;Video Players & Editors;3.8;10,000,000+
0bb711d426304b8c1abbbcb0c7cbbdab3926688855c7b48dbe2c4b3c2ba0c49a;Tools;4.6;50,000+
b1cf634eeda06a4d9629fec942538242bb12224a1a99dad2b81588839a0889b2;Casino;4.1;1,000,000+
3cb3e54902bf5ca775b5e91104f47c85e1853dd5ae13ad799edec9c625c4d931;Tools;3.8;50,000,000+
3f7508f03e07f8e19a564242bb6be681755ed73bdb5d4de595c188a11a29a76b;Personalization;4.3;1,000,000+
88bf2f93720ab0dbd60af0661ebb9addc9a2d1c3f58289afc8277e994116ae25;Sports;4.6;10,000+
307a9d05410dc312440d41dc2f3ce9bbdc3b6e5f9322291a2d4751d3dab9e220;Travel & Local;4.0;50,000+
dfad811cbbbe0e6597c28aba48c23cc8b58d4fd7cf12cd3639773158177d941b;Tools;4.2;100,000+
3105ac28196f398eba7502555804e57973548a6f2a6daf84d2c4522c1f645d8b;Business;4.4;10,000,000+
